country_code,indicator_code,source_organization,date,value,lower_bound,upper_bound,status
AR,CPI_YOY_A,IMF,2023,133.489,-66.9555,106.774,warning
AR,CPI_YOY_A,IMF,2024,219.885,-66.9555,106.774,warning
BR,CPI_YOY_A,IMF,1988,629.118,-285.30924999999996,390.49525,warning
BR,CPI_YOY_A,IMF,1989,1430.724,-285.30924999999996,390.49525,warning
BR,CPI_YOY_A,IMF,1990,2947.733,-285.30924999999996,390.49525,warning
BR,CPI_YOY_A,IMF,1991,432.772,-285.30924999999996,390.49525,warning
BR,CPI_YOY_A,IMF,1992,951.956,-285.30924999999996,390.49525,warning
BR,CPI_YOY_A,IMF,1993,1927.381,-285.30924999999996,390.49525,warning
BR,CPI_YOY_A,IMF,1994,2075.827,-285.30924999999996,390.49525,warning
BR,RESERVES_USD_A,World Bank,2022,324673449781.4,327806790736.81116,391653367898.06635,warning
CN,CPI_YOY_A,IMF,1988,18.8,-7.182500000000001,12.970500000000001,warning
CN,CPI_YOY_A,IMF,1989,18.0,-7.182500000000001,12.970500000000001,warning
CN,CPI_YOY_A,IMF,1993,14.624,-7.182500000000001,12.970500000000001,warning
CN,CPI_YOY_A,IMF,1994,24.283,-7.182500000000001,12.970500000000001,warning
CN,CPI_YOY_A,IMF,1995,16.794,-7.182500000000001,12.970500000000001,warning
CN,CURRENT_ACCOUNT_GDP_A,IMF,2007,9.774,-3.5285,8.739,warning
CN,CURRENT_ACCOUNT_GDP_A,IMF,2008,9.034,-3.5285,8.739,warning
CN,UNEMPLOYMENT_RATE_A,IMF,2018,4.93,4.999499999999999,5.234,warning
CN,UNEMPLOYMENT_RATE_A,IMF,2020,5.617,4.999499999999999,5.234,warning
CN,UNEMPLOYMENT_RATE_A,IMF,2022,5.583,4.999499999999999,5.234,warning
CN,UNEMPLOYMENT_RATE_A,World Bank,2020,5.0,4.239999999999998,4.975000000000001,warning
CN,UNEMPLOYMENT_RATE_A,World Bank,2022,4.98,4.239999999999998,4.975000000000001,warning
DE,CPI_YOY_A,IMF,2022,8.673,-2.708499999999999,6.746749999999999,warning
DE,GDP_REAL_GROWTH_YOY_A,IMF,2009,-5.55,-4.797999999999999,7.906999999999999,warning
GB,CPI_YOY_A,IMF,1980,16.849,-5.051,11.28875,warning
GB,CPI_YOY_A,IMF,1981,12.189,-5.051,11.28875,warning
GB,GDP_REAL_GROWTH_YOY_A,IMF,2009,-4.587,-3.991000000000001,8.32375,warning
GB,GDP_REAL_GROWTH_YOY_A,IMF,2020,-10.048,-3.991000000000001,8.32375,warning
GB,GDP_REAL_GROWTH_YOY_A,IMF,2021,8.543,-3.991000000000001,8.32375,warning
GB,GDP_REAL_GROWTH_YOY_A,World Bank,2020,-10.047896637362,-3.8215730920291646,7.799511544706009,warning
GB,GDP_REAL_GROWTH_YOY_A,World Bank,2021,8.5431118453255,-3.8215730920291646,7.799511544706009,warning
ID,CPI_YOY_A,IMF,1998,58.447,-13.745499999999998,26.8405,warning
ID,GDP_REAL_GROWTH_YOY_A,IMF,1998,-13.127,-0.2952500000000011,11.900500000000001,warning
ID,GDP_REAL_GROWTH_YOY_A,IMF,2020,-2.066,-0.2952500000000011,11.900500000000001,warning
ID,GDP_REAL_GROWTH_YOY_A,World Bank,2020,-2.06551182934165,4.4544688143209195,5.522190086562571,warning
ID,GDP_REAL_GROWTH_YOY_A,World Bank,2021,3.70288562827751,4.4544688143209195,5.522190086562571,warning
ID,GOV_DEBT_GDP_A,IMF,2000,87.437,-10.32350000000001,81.51475000000002,warning
IN,CURRENT_ACCOUNT_GDP_A,IMF,2003,2.317,-4.693250000000001,1.8587500000000008,warning
IN,CURRENT_ACCOUNT_GDP_A,IMF,2012,-4.819,-4.693250000000001,1.8587500000000008,warning
IN,CURRENT_ACCOUNT_GDP_A,World Bank,2020,1.22362111042791,-2.884945962475516,0.7047533025369415,warning
IN,GDP_REAL_GROWTH_YOY_A,IMF,2020,-5.778,-2.286750000000003,15.034750000000003,warning
IN,GDP_REAL_GROWTH_YOY_A,World Bank,2020,-5.77772470686801,1.282441840455812,13.372930622008832,warning
JP,GDP_REAL_GROWTH_YOY_A,World Bank,2020,-4.16876457146743,-3.661368086864922,5.43967633431751,warning
MX,CPI_YOY_A,IMF,1983,101.805,-47.78300000000001,72.76225000000001,warning
MX,CPI_YOY_A,IMF,1986,86.449,-47.78300000000001,72.76225000000001,warning
MX,CPI_YOY_A,IMF,1987,131.959,-47.78300000000001,72.76225000000001,warning
MX,CPI_YOY_A,IMF,1988,113.503,-47.78300000000001,72.76225000000001,warning
MX,CURRENT_ACCOUNT_GDP_A,IMF,1983,7.397,-7.545499999999999,4.853249999999999,warning
MX,CURRENT_ACCOUNT_GDP_A,IMF,1984,5.177,-7.545499999999999,4.853249999999999,warning
MX,CURRENT_ACCOUNT_GDP_A,IMF,1992,-8.452,-7.545499999999999,4.853249999999999,warning
MX,CURRENT_ACCOUNT_GDP_A,IMF,1994,-7.751,-7.545499999999999,4.853249999999999,warning
MX,GDP_REAL_GROWTH_YOY_A,IMF,2009,-6.295,-6.098750000000001,10.955000000000002,warning
MX,GDP_REAL_GROWTH_YOY_A,IMF,2020,-8.354,-6.098750000000001,10.955000000000002,warning
MX,GDP_REAL_GROWTH_YOY_A,World Bank,2020,-8.35403458167995,-3.517434422949155,8.221865411938523,warning
SA,GDP_REAL_GROWTH_YOY_A,IMF,1982,-16.109,-12.3515,17.660999999999998,warning
SA,UNEMPLOYMENT_RATE_A,IMF,2020,7.65,3.3644999999999996,7.64325,warning
TR,GDP_NOMINAL_USD_A,World Bank,2024,1359123768774.12,468176789754.6643,1245353228531.4429,warning
TR,GDP_PER_CAPITA_USD_A,World Bank,2024,15892.7157287241,5900.384079426465,14902.723732813458,warning
US,CPI_YOY_A,IMF,1980,13.502,-2.0674999999999994,7.746499999999999,warning
US,CPI_YOY_A,IMF,1981,10.378,-2.0674999999999994,7.746499999999999,warning
US,CPI_YOY_A,IMF,2022,7.991,-2.0674999999999994,7.746499999999999,warning
US,GDP_REAL_GROWTH_YOY_A,World Bank,2020,-2.16302914036166,1.0920866864230345,4.310275710439925,warning
US,GDP_REAL_GROWTH_YOY_A,World Bank,2021,6.05505293244555,1.0920866864230345,4.310275710439925,warning
US,US_INDUSTRIAL_PRODUCTION_M,FRED,2020-04,84.5619,93.658725,107.32272499999999,warning
US,US_INDUSTRIAL_PRODUCTION_M,FRED,2020-05,85.9604,93.658725,107.32272499999999,warning
US,US_INDUSTRIAL_PRODUCTION_M,FRED,2020-06,91.5934,93.658725,107.32272499999999,warning
US,US_UNEMPLOYMENT_RATE_M,FRED,2020-04,14.8,0.4999999999999982,8.200000000000003,warning
US,US_UNEMPLOYMENT_RATE_M,FRED,2020-05,13.2,0.4999999999999982,8.200000000000003,warning
US,US_UNEMPLOYMENT_RATE_M,FRED,2020-06,11.0,0.4999999999999982,8.200000000000003,warning
US,US_UNEMPLOYMENT_RATE_M,FRED,2020-07,10.2,0.4999999999999982,8.200000000000003,warning
US,US_UNEMPLOYMENT_RATE_M,FRED,2020-08,8.4,0.4999999999999982,8.200000000000003,warning
VN,CPI_YOY_A,IMF,1982,95.401,-56.73474999999999,83.89524999999999,warning
VN,CPI_YOY_A,IMF,1985,91.602,-56.73474999999999,83.89524999999999,warning
VN,CPI_YOY_A,IMF,1986,453.538,-56.73474999999999,83.89524999999999,warning
VN,CPI_YOY_A,IMF,1987,360.357,-56.73474999999999,83.89524999999999,warning
VN,CPI_YOY_A,IMF,1988,374.354,-56.73474999999999,83.89524999999999,warning
VN,CPI_YOY_A,IMF,1989,95.77,-56.73474999999999,83.89524999999999,warning
VN,GDP_REAL_GROWTH_YOY_A,IMF,1980,-3.497,-0.28949999999999854,13.316749999999999,warning
ZA,GDP_REAL_GROWTH_YOY_A,World Bank,2020,-6.1689177146757,-2.2250774302508947,4.29040160075242,warning
ZA,GDP_REAL_GROWTH_YOY_A,World Bank,2021,4.85864865060148,-2.2250774302508947,4.29040160075242,warning
